,Unnamed: 0,ranker,player,pos,age,team_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,player_link,team_id_link,height,weight,bmi
0,0,1,Steven Adams,C,26,OKC,29,29,27.8,5.0,8.1,0.619,0.0,0.0,0.0,5.0,8.1,0.621,0.619,1.6,3.0,0.511,3.4,6.3,9.7,2.7,0.6,1.2,1.6,1.9,11.6,/players/a/adamsst01.html,/teams/OKC/2020.html,83,265,27.04238641312237
1,1,2,Bam Adebayo,C,22,MIA,32,32,34.3,5.8,10.3,0.564,0.0,0.3,0.111,5.8,10.0,0.5760000000000001,0.565,4.0,5.8,0.6859999999999999,2.6,8.0,10.5,4.6,1.4,1.3,2.8,2.6,15.6,/players/a/adebaba01.html,/teams/MIA/2020.html,81,255,27.3228166438043
2,2,3,LaMarcus Aldridge,C,34,SAS,29,29,32.9,7.9,15.4,0.512,0.8,2.0,0.40399999999999997,7.1,13.4,0.528,0.5379999999999999,2.9,3.5,0.8320000000000001,2.1,5.4,7.5,2.4,0.7,1.9,1.4,2.3,19.5,/players/a/aldrila01.html,/teams/SAS/2020.html,83,260,26.5321527072144
3,3,4,Nickeil Alexander-Walker,SG,21,NOP,27,0,12.6,2.0,6.0,0.34,1.1,3.1,0.341,1.0,2.9,0.33799999999999997,0.429,0.4,0.6,0.688,0.1,1.9,2.0,1.7,0.3,0.1,1.0,1.1,5.6,/players/a/alexani01.html,/teams/NOP/2020.html,77,205,24.306797099004893
4,4,5,Grayson Allen,SG,24,MEM,19,0,18.3,3.0,6.9,0.435,1.5,3.7,0.39399999999999996,1.5,3.2,0.483,0.542,1.1,1.2,0.87,0.2,2.4,2.5,1.5,0.3,0.1,1.0,1.4,8.5,/players/a/allengr01.html,/teams/MEM/2020.html,76,198,24.098684210526315
5,5,6,Jarrett Allen,C,21,BRK,31,28,26.5,4.7,7.2,0.6579999999999999,0.0,0.1,0.0,4.7,7.1,0.664,0.6579999999999999,2.7,4.3,0.634,3.6,6.8,10.4,1.3,0.7,1.4,1.2,2.5,12.2,/players/a/allenja01.html,/teams/BRK/2020.html,83,237,24.18507766003774
6,6,7,Kadeem Allen,SG,27,NYK,2,0,9.0,1.5,3.5,0.429,1.5,2.5,0.6,0.0,1.0,0.0,0.643,0.0,0.0,,0.0,0.0,0.0,1.0,0.5,0.0,1.0,1.0,4.5,/players/a/allenka01.html,/teams/NYK/2020.html,73,200,26.383936948770877
7,7,8,Al-Farouq Aminu,PF,29,ORL,18,2,21.1,1.4,4.8,0.29100000000000004,0.5,2.0,0.25,0.9,2.8,0.32,0.34299999999999997,1.1,1.6,0.655,1.3,3.5,4.8,1.2,1.0,0.4,0.9,1.5,4.3,/players/a/aminual01.html,/teams/ORL/2020.html,80,220,24.165625
8,8,9,Kyle Anderson,PF,26,MEM,28,2,18.3,2.2,4.8,0.466,0.2,0.9,0.20800000000000002,2.0,3.9,0.523,0.485,0.8,1.3,0.622,1.1,3.3,4.4,2.4,0.6,0.5,0.9,1.5,5.4,/players/a/anderky01.html,/teams/MEM/2020.html,81,230,24.64410912970584
9,9,10,Ryan Anderson,PF,31,HOU,2,0,7.0,1.0,3.5,0.28600000000000003,0.5,2.5,0.2,0.5,1.0,0.5,0.35700000000000004,0.0,0.0,,0.0,3.5,3.5,1.0,0.5,0.0,0.5,0.5,2.5,/players/a/anderry01.html,/teams/HOU/2020.html,81,240,25.715592135345222
