,ranker,player,pos,age,team_id,g,gs,mp,fg_per_mp,fga_per_mp,fg_pct,fg3_per_mp,fg3a_per_mp,fg3_pct,fg2_per_mp,fg2a_per_mp,fg2_pct,ft_per_mp,fta_per_mp,ft_pct,orb_per_mp,drb_per_mp,trb_per_mp,ast_per_mp,stl_per_mp,blk_per_mp,tov_per_mp,pf_per_mp,pts_per_mp,player_link,team_id_link
0,1,Steven Adams,C,26,OKC,29,29,806,6.5,10.5,.619,0.0,0.0,.000,6.5,10.5,.621,2.0,3.9,.511,4.4,8.1,12.6,3.5,0.8,1.6,2.0,2.5,15.1,/players/a/adamsst01.html,/teams/OKC/2020.html
1,2,Bam Adebayo,C,22,MIA,32,32,1098,6.1,10.8,.564,0.0,0.3,.111,6.1,10.5,.576,4.2,6.1,.686,2.7,8.4,11.0,4.8,1.5,1.3,2.9,2.8,16.4,/players/a/adebaba01.html,/teams/MIA/2020.html
2,3,LaMarcus Aldridge,C,34,SAS,29,29,953,8.7,16.9,.512,0.9,2.2,.404,7.8,14.7,.528,3.2,3.8,.832,2.3,5.9,8.2,2.6,0.7,2.1,1.6,2.5,21.3,/players/a/aldrila01.html,/teams/SAS/2020.html
3,4,Nickeil Alexander-Walker,SG,21,NOP,27,0,341,5.8,17.1,.340,3.1,9.0,.341,2.7,8.1,.338,1.2,1.7,.688,0.4,5.4,5.8,4.9,1.0,0.4,2.7,3.3,15.8,/players/a/alexani01.html,/teams/NOP/2020.html
4,5,Grayson Allen,SG,24,MEM,19,0,347,5.9,13.6,.435,2.9,7.4,.394,3.0,6.2,.483,2.1,2.4,.870,0.3,4.7,5.0,3.0,0.5,0.1,2.0,2.8,16.8,/players/a/allengr01.html,/teams/MEM/2020.html
5,6,Jarrett Allen,C,21,BRK,31,28,823,6.4,9.7,.658,0.0,0.1,.000,6.4,9.6,.664,3.7,5.9,.634,4.9,9.2,14.1,1.8,1.0,1.9,1.6,3.3,16.5,/players/a/allenja01.html,/teams/BRK/2020.html
6,7,Kadeem Allen,SG,27,NYK,2,0,18,6.0,14.0,.429,6.0,10.0,.600,0.0,4.0,.000,0.0,0.0,,0.0,0.0,0.0,4.0,2.0,0.0,4.0,4.0,18.0,/players/a/allenka01.html,/teams/NYK/2020.html
7,8,Al-Farouq Aminu,PF,29,ORL,18,2,380,2.4,8.1,.291,0.9,3.4,.250,1.5,4.7,.320,1.8,2.7,.655,2.3,6.0,8.2,2.0,1.7,0.8,1.6,2.6,7.4,/players/a/aminual01.html,/teams/ORL/2020.html
8,9,Kyle Anderson,PF,26,MEM,28,2,511,4.4,9.4,.466,0.4,1.7,.208,4.0,7.7,.523,1.6,2.6,.622,2.2,6.4,8.6,4.7,1.3,1.0,1.8,3.0,10.7,/players/a/anderky01.html,/teams/MEM/2020.html
9,10,Ryan Anderson,PF,31,HOU,2,0,14,5.1,18.0,.286,2.6,12.9,.200,2.6,5.1,.500,0.0,0.0,,0.0,18.0,18.0,5.1,2.6,0.0,2.6,2.6,12.9,/players/a/anderry01.html,/teams/HOU/2020.html
10,11,Giannis Antetokounmpo,PF,25,MIL,31,31,963,13.2,23.7,.554,1.9,5.9,.327,11.2,17.8,.630,7.1,12.0,.597,3.1,11.9,15.0,6.6,1.5,1.4,4.2,3.6,35.4,/players/a/antetgi01.html,/teams/MIL/2020.html
11,12,Kostas Antetokounmpo,PF,22,LAL,2,0,3,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,/players/a/antetko01.html,/teams/LAL/2020.html
12,13,Thanasis Antetokounmpo,SF,27,MIL,8,0,40,8.1,13.5,.600,0.0,0.9,.000,8.1,12.6,.643,3.6,7.2,.500,4.5,0.9,5.4,5.4,0.9,0.9,2.7,4.5,19.8,/players/a/antetth01.html,/teams/MIL/2020.html
13,14,Carmelo Anthony,PF,35,POR,18,18,561,6.9,16.6,.417,1.8,4.5,.400,5.1,12.1,.423,2.8,3.5,.815,1.3,6.0,7.3,1.3,1.3,0.9,2.4,3.6,18.5,/players/a/anthoca01.html,/teams/POR/2020.html
14,15,OG Anunoby,SF,22,TOR,32,32,947,5.3,10.8,.493,1.6,4.6,.344,3.7,6.2,.605,1.1,1.8,.625,1.3,5.7,7.0,1.9,1.3,1.0,1.6,3.1,13.4,/players/a/anunoog01.html,/teams/TOR/2020.html
