,ranker,player,pos,age,team_id,g,gs,mp,fg_per_poss,fga_per_poss,fg_pct,fg3_per_poss,fg3a_per_poss,fg3_pct,fg2_per_poss,fg2a_per_poss,fg2_pct,ft_per_poss,fta_per_poss,ft_pct,orb_per_poss,drb_per_poss,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,tov_per_poss,pf_per_poss,pts_per_poss,,off_rtg,def_rtg,player_link,team_id_link
0,1,Steven Adams,C,26,OKC,29,29,806,8.8,14.3,.619,0.0,0.1,.000,8.8,14.2,.621,2.7,5.3,.511,6.0,11.0,17.0,4.8,1.1,2.2,2.7,3.3,20.4,,123,105,/players/a/adamsst01.html,/teams/OKC/2020.html
1,2,Bam Adebayo,C,22,MIA,32,32,1098,8.2,14.6,.564,0.0,0.4,.111,8.2,14.2,.576,5.6,8.2,.686,3.6,11.3,14.9,6.5,2.0,1.8,3.9,3.7,22.1,,117,102,/players/a/adebaba01.html,/teams/MIA/2020.html
2,3,LaMarcus Aldridge,C,34,SAS,29,29,953,11.4,22.2,.512,1.1,2.8,.404,10.2,19.4,.528,4.2,5.0,.832,3.1,7.8,10.8,3.5,0.9,2.7,2.1,3.3,28.1,,116,110,/players/a/aldrila01.html,/teams/SAS/2020.html
3,4,Nickeil Alexander-Walker,SG,21,NOP,27,0,341,7.5,22.2,.340,4.0,11.6,.341,3.6,10.5,.338,1.5,2.2,.688,0.5,7.0,7.5,6.3,1.2,0.5,3.6,4.2,20.5,,90,113,/players/a/alexani01.html,/teams/NOP/2020.html
4,5,Grayson Allen,SG,24,MEM,19,0,347,7.7,17.6,.435,3.8,9.5,.394,3.9,8.1,.483,2.7,3.1,.870,0.4,6.0,6.4,3.9,0.7,0.1,2.6,3.6,21.8,,107,116,/players/a/allengr01.html,/teams/MEM/2020.html
5,6,Jarrett Allen,C,21,BRK,31,28,823,8.3,12.7,.658,0.0,0.1,.000,8.3,12.5,.664,4.8,7.6,.634,6.3,12.0,18.3,2.3,1.3,2.5,2.1,4.3,21.5,,133,103,/players/a/allenja01.html,/teams/BRK/2020.html
6,7,Kadeem Allen,SG,27,NYK,2,0,18,8.1,18.9,.429,8.1,13.5,.600,0.0,5.4,.000,0.0,0.0,,0.0,0.0,0.0,5.4,2.7,0.0,5.4,5.4,24.3,,104,115,/players/a/allenka01.html,/teams/NYK/2020.html
7,8,Al-Farouq Aminu,PF,29,ORL,18,2,380,3.2,11.1,.291,1.2,4.6,.250,2.1,6.4,.320,2.4,3.7,.655,3.1,8.1,11.2,2.7,2.3,1.0,2.2,3.5,10.0,,88,106,/players/a/aminual01.html,/teams/ORL/2020.html
8,9,Kyle Anderson,PF,26,MEM,28,2,511,5.7,12.1,.466,0.5,2.2,.208,5.2,9.9,.523,2.1,3.4,.622,2.8,8.3,11.1,6.1,1.6,1.3,2.4,3.9,13.9,,108,111,/players/a/anderky01.html,/teams/MEM/2020.html
9,10,Ryan Anderson,PF,31,HOU,2,0,14,6.6,23.2,.286,3.3,16.6,.200,3.3,6.6,.500,0.0,0.0,,0.0,23.2,23.2,6.6,3.3,0.0,3.3,3.3,16.6,,79,98,/players/a/anderry01.html,/teams/HOU/2020.html
10,11,Giannis Antetokounmpo,PF,25,MIL,31,31,963,16.8,30.2,.554,2.5,7.6,.327,14.3,22.7,.630,9.1,15.2,.597,3.9,15.2,19.1,8.4,1.9,1.8,5.4,4.6,45.1,,117,96,/players/a/antetgi01.html,/teams/MIL/2020.html
11,12,Kostas Antetokounmpo,PF,22,LAL,2,0,3,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,,,106,/players/a/antetko01.html,/teams/LAL/2020.html
12,13,Thanasis Antetokounmpo,SF,27,MIL,8,0,40,10.3,17.2,.600,0.0,1.1,.000,10.3,16.0,.643,4.6,9.2,.500,5.7,1.1,6.9,6.9,1.1,1.1,3.4,5.7,25.2,,121,106,/players/a/antetth01.html,/teams/MIL/2020.html
13,14,Carmelo Anthony,PF,35,POR,18,18,561,9.1,21.8,.417,2.4,5.9,.400,6.7,15.9,.423,3.7,4.5,.815,1.8,7.8,9.6,1.8,1.8,1.2,3.1,4.7,24.2,,98,110,/players/a/anthoca01.html,/teams/POR/2020.html
14,15,OG Anunoby,SF,22,TOR,32,32,947,7.1,14.3,.493,2.1,6.1,.344,4.9,8.2,.605,1.5,2.4,.625,1.7,7.6,9.2,2.5,1.8,1.3,2.2,4.1,17.7,,108,104,/players/a/anunoog01.html,/teams/TOR/2020.html
15,16,Ryan Arcidiacono,PG,25,CHI,33,0,497,4.2,11.0,.383,2.7,6.6,.406,1.5,4.4,.348,1.7,2.3,.750,1.3,3.9,5.3,4.8,1.3,0.2,1.7,5.2,12.9,,110,109,/players/a/arcidry01.html,/teams/CHI/2020.html
16,17,Trevor Ariza,SF,34,SAC,24,0,568,3.9,10.6,.372,2.7,7.8,.348,1.2,2.8,.438,1.0,1.3,.800,1.4,7.9,9.3,2.9,2.1,0.5,1.8,3.8,11.6,,104,109,/players/a/arizatr01.html,/teams/SAC/2020.html
17,18,D.J. Augustin,PG,32,ORL,32,6,824,6.2,15.6,.395,2.2,6.5,.339,4.0,9.1,.435,4.5,5.0,.905,0.8,3.7,4.5,8.7,1.2,0.1,2.4,2.1,19.1,,113,112,/players/a/augusdj01.html,/teams/ORL/2020.html
18,19,Deandre Ayton,C,21,PHO,2,2,58,14.5,26.6,.545,0.0,0.0,,14.5,26.6,.545,0.0,0.8,.000,8.1,10.5,18.6,2.4,0.8,4.0,1.6,3.2,29.1,,111,106,/players/a/aytonde01.html,/teams/PHO/2020.html
19,20,Dwayne Bacon,SG,24,CHO,25,10,409,6.0,19.5,.309,1.2,5.4,.222,4.8,14.1,.342,2.9,4.2,.686,1.2,5.5,6.7,3.5,2.0,0.2,2.5,3.9,16.1,,81,113,/players/b/bacondw01.html,/teams/CHO/2020.html
21,21,Marvin Bagley,PF,20,SAC,9,3,212,11.7,25.5,.459,0.7,3.3,.214,11.0,22.2,.495,4.7,5.8,.800,4.2,10.3,14.5,1.4,0.9,1.9,3.0,6.1,28.8,,101,109,/players/b/baglema01.html,/teams/SAC/2020.html
22,22,Lonzo Ball,PG,22,NOP,26,17,737,6.6,17.3,.383,3.6,10.0,.361,3.0,7.3,.414,0.9,1.9,.500,1.9,6.5,8.4,8.5,2.0,0.4,4.3,3.0,17.9,,99,112,/players/b/balllo01.html,/teams/NOP/2020.html
23,23,Mo Bamba,C,21,ORL,28,0,436,7.5,16.7,.450,2.2,6.2,.364,5.3,10.6,.500,1.1,1.7,.667,4.7,11.5,16.2,1.9,1.0,4.2,3.1,6.2,18.4,,100,102,/players/b/bambamo01.html,/teams/ORL/2020.html
24,24,J.J. Barea,PG,35,DAL,8,0,111,12.6,27.3,.460,6.1,10.8,.560,6.5,16.5,.395,1.7,1.7,1.000,0.9,4.3,5.2,9.5,0.9,0.4,3.0,2.6,33.0,,119,112,/players/b/bareajo01.html,/teams/DAL/2020.html
25,25,Harrison Barnes,PF,27,SAC,33,33,1162,7.3,16.7,.439,1.9,5.5,.341,5.5,11.2,.487,5.1,6.3,.804,1.5,5.8,7.4,3.0,1.0,0.2,2.0,1.7,21.6,,112,114,/players/b/barneha02.html,/teams/SAC/2020.html
26,26,RJ Barrett,SG,19,NYK,32,32,1013,7.9,20.4,.389,1.7,5.4,.321,6.2,15.0,.413,3.6,6.4,.552,1.7,6.4,8.1,4.3,1.6,0.6,3.3,3.4,21.1,,92,113,/players/b/barrerj01.html,/teams/NYK/2020.html
27,27,Will Barton,SF,29,DEN,30,30,988,8.5,18.6,.460,2.4,6.5,.377,6.1,12.1,.504,2.5,3.4,.739,2.3,7.9,10.3,5.3,1.7,0.6,2.2,3.0,22.1,,113,105,/players/b/bartowi01.html,/teams/DEN/2020.html
28,28,Keita Bates-Diop,SF,24,MIN,19,0,334,6.4,14.0,.460,2.8,7.1,.392,3.6,6.9,.531,2.2,3.2,.696,1.3,5.3,6.6,1.1,1.1,1.0,0.8,2.2,17.9,,117,113,/players/b/bateske01.html,/teams/MIN/2020.html
29,29,Nicolas Batum,SF,31,CHO,16,2,357,2.8,7.4,.370,1.5,5.0,.306,1.2,2.5,.500,0.8,0.8,1.000,2.5,6.5,9.0,6.6,1.8,1.1,2.6,4.4,7.9,,107,112,/players/b/batumni01.html,/teams/CHO/2020.html
30,30,Aron Baynes,C,33,PHO,23,17,549,10.0,19.0,.525,2.9,7.8,.370,7.1,11.2,.634,2.7,3.8,.727,2.9,8.0,10.9,4.3,0.4,1.3,2.5,7.6,25.6,,118,112,/players/b/baynear01.html,/teams/PHO/2020.html
31,31,Kent Bazemore,SF,30,POR,33,11,812,5.2,14.3,.362,2.6,7.2,.363,2.6,7.1,.361,2.5,3.0,.827,0.6,6.9,7.5,2.7,1.9,1.5,2.9,5.5,15.5,,93,110,/players/b/bazemke01.html,/teams/POR/2020.html
32,32,Darius Bazley,PF,19,OKC,32,5,554,4.0,11.3,.357,1.9,6.2,.310,2.1,5.1,.414,1.1,1.8,.650,1.0,9.6,10.6,1.5,1.1,1.8,2.5,3.0,11.2,,83,107,/players/b/bazleda01.html,/teams/OKC/2020.html
33,33,Bradley Beal,SG,26,WAS,30,30,1099,12.0,27.5,.436,3.2,10.2,.317,8.8,17.3,.507,7.9,9.6,.828,1.4,4.7,6.1,8.4,1.4,0.4,4.3,3.1,35.2,,111,119,/players/b/bealbr01.html,/teams/WAS/2020.html
34,34,Malik Beasley,SG,23,DEN,25,0,397,8.1,20.4,.396,4.1,10.4,.393,4.0,9.9,.400,0.9,1.1,.778,0.7,3.9,4.6,3.1,1.4,0.5,2.6,3.5,21.1,,96,108,/players/b/beaslma01.html,/teams/DEN/2020.html
35,35,Marco Belinelli,SG,33,SAS,29,0,468,5.9,16.5,.356,2.9,8.5,.345,2.9,8.0,.367,2.2,3.0,.733,0.1,4.8,4.9,3.5,0.7,0.0,1.1,2.4,16.9,,99,116,/players/b/belinma01.html,/teams/SAS/2020.html
36,36,Jordan Bell,C,25,MIN,18,0,181,6.2,11.6,.533,0.0,1.3,.000,6.2,10.3,.600,4.1,6.5,.640,5.7,10.1,15.8,3.1,0.5,2.3,3.9,3.4,16.6,,108,110,/players/b/belljo01.html,/teams/MIN/2020.html
37,37,DeAndre' Bembry,SG,25,ATL,32,4,720,5.4,11.6,.467,0.8,3.0,.255,4.7,8.6,.541,1.3,2.5,.513,2.0,6.3,8.3,4.5,2.6,0.9,2.9,3.9,12.9,,98,112,/players/b/bembrde01.html,/teams/ATL/2020.html
38,38,Dragan Bender,SF,22,MIL,3,0,29,9.5,12.6,.750,3.2,6.3,.500,6.3,6.3,1.000,1.6,1.6,1.000,0.0,3.2,3.2,4.7,0.0,3.2,1.6,9.5,23.7,,158,105,/players/b/bendedr01.html,/teams/MIL/2020.html
39,39,Dāvis Bertāns,PF,27,WAS,28,4,839,7.8,17.5,.449,5.8,13.4,.434,2.0,4.1,.500,2.3,2.6,.894,1.4,6.2,7.6,2.7,1.0,1.0,1.2,4.0,23.8,,125,118,/players/b/bertada01.html,/teams/WAS/2020.html
40,40,Patrick Beverley,PG,31,LAC,29,29,839,4.9,11.9,.413,2.3,7.0,.328,2.6,4.9,.534,0.9,1.5,.593,2.2,7.6,9.7,5.3,2.2,1.1,2.1,5.4,13.0,,110,104,/players/b/beverpa01.html,/teams/LAC/2020.html
42,41,Khem Birch,C,27,ORL,19,11,409,3.6,7.7,.469,0.0,0.1,.000,3.6,7.5,.476,1.9,4.1,.471,4.3,7.3,11.6,2.4,1.3,1.7,1.6,5.5,9.1,,107,107,/players/b/birchkh01.html,/teams/ORL/2020.html
43,42,Goga Bitadze,C,20,IND,25,2,256,5.7,12.5,.455,0.8,3.0,.250,4.9,9.5,.520,2.8,4.0,.714,3.4,8.3,11.8,2.8,0.2,4.4,2.5,7.6,15.0,,105,104,/players/b/bitadgo01.html,/teams/IND/2020.html
